		
"normalized area, average for each treatment"		
		
 GeoID 	  Average Bare  	 Average Bare 
comp112914_c0_seq1	 0.027607 	 0.023653 
comp112914_c0_seq2	 0.087490 	 0.079087 
comp112916_c0_seq1	 0.007078 	 0.006832 
comp112918_c0_seq1	 0.008422 	 0.012333 
comp112918_c1_seq1	 0.043518 	 0.057974 
comp112966_c2_seq1	 0.772332 	 0.743899 
comp112972_c0_seq1	 0.001101 	 0.003626 
comp112972_c0_seq2	 0.000809 	 0.001108 
comp112972_c0_seq2	 0.001101 	 0.003626 
comp113055_c0_seq1	 0.050000 	 0.038891 
comp113055_c0_seq1	 0.025181 	 0.019298 
comp113055_c0_seq2	 0.033781 	 0.026256 
comp113055_c0_seq2	 0.025181 	 0.019298 
comp113070_c1_seq1	 0.003220 	 0.002977 
comp113099_c1_seq1	 0.015542 	 0.016484 
comp113126_c0_seq1	 0.037164 	 0.084945 
comp113158_c0_seq1	 0.020334 	 0.015833 
comp113158_c0_seq2	 0.039550 	 0.037044 
comp113199_c0_seq1	 0.033694 	 0.040286 
comp113252_c1_seq1	 0.000174 	 0.000561 
comp113349_c0_seq1	 0.021336 	 0.018694 
comp113349_c0_seq2	 0.007638 	 0.005087 
comp113354_c0_seq1	 0.006919 	 0.004574 
comp113631_c1_seq1	 0.001349 	 0.001778 
comp113653_c0_seq1	 0.125931 	 0.119794 
comp113815_c0_seq1	 0.010435 	 0.009121 
comp113927_c1_seq1	 0.015933 	 0.018118 
comp113931_c0_seq1	 0.232421 	 0.209599 
comp113931_c0_seq3	 0.220060 	 0.202433 
comp113931_c0_seq4	 0.311349 	 0.292875 
comp113931_c0_seq5	 0.323710 	 0.300041 
comp113931_c1_seq1	 0.087372 	 0.081679 
comp113970_c2_seq1	 0.005905 	 0.007738 
comp113971_c1_seq1	 0.015073 	 0.016282 
comp114001_c0_seq2	 0.005063 	 0.008696 
comp114001_c0_seq3	 0.005063 	 0.008696 
comp114039_c1_seq2	 0.002842 	 0.002434 
comp114110_c1_seq1	 0.000959 	 0.000813 
comp114240_c0_seq1	 0.052850 	 0.047023 
comp114352_c1_seq1	 0.004468 	 0.004520 
comp114364_c0_seq1	 0.003341 	 0.005924 
comp114412_c0_seq1	 0.000470 	 0.003166 
comp114412_c0_seq2	 0.006361 	 0.007205 
comp114414_c0_seq1	 0.001893 	 0.000957 
comp114414_c1_seq1	 0.001729 	 0.001723 
comp114414_c2_seq1	 0.001884 	 0.002202 
comp114565_c0_seq1	 0.120755 	 0.087744 
comp114617_c0_seq2	 0.002959 	 0.003238 
comp114617_c0_seq3	 0.002959 	 0.003238 
comp114617_c1_seq1	 0.001065 	 0.001897 
comp114617_c2_seq1	 0.006577 	 0.006564 
comp114628_c0_seq1	 0.001805 	 0.002780 
comp114635_c0_seq1	 0.188457 	 0.178822 
comp114635_c0_seq2	 0.188457 	 0.178822 
comp114713_c0_seq1	 0.172402 	 0.138003 
comp114823_c0_seq1	 0.023050 	 0.020972 
comp114823_c0_seq2	 0.014313 	 0.015932 
comp114846_c0_seq1	 0.010208 	 0.012521 
comp114846_c0_seq2	 0.010208 	 0.012521 
comp114890_c0_seq1	 0.007341 	 0.007921 
comp114936_c0_seq1	 0.016815 	 0.019027 
comp114936_c1_seq1	 0.005790 	 0.004130 
comp114969_c1_seq1	 0.020081 	 0.011181 
comp114969_c2_seq1	 0.022032 	 0.012362 
comp114977_c0_seq1	 0.012304 	 0.024509 
comp115012_c0_seq1	 0.003026 	 0.005289 
comp115053_c0_seq1	 0.018103 	 0.020497 
comp115080_c0_seq1	 0.004424 	 0.005124 
comp115080_c0_seq2	 0.004424 	 0.005124 
comp115080_c0_seq3	 0.004424 	 0.005124 
comp115080_c0_seq4	 0.004424 	 0.005124 
comp115191_c0_seq1	 0.001585 	 0.004259 
comp115191_c0_seq3	 0.021461 	 0.025598 
comp115191_c0_seq4	 0.001585 	 0.004259 
