"","bareCaseInlet","bareFidalgoBay","barePortGamble","bareSkokomishRiver","bareWillapaBay","eelgrassCaseInlet","eelgrassFidalgoBay","eelgrassPortGamble","eelgrassSkokomishRiver"
"cds.comp141109_c0_seq5|m.37139",0.004295425,0.005100655,0.004153266,0.00665866,0.004596626,0.005205458,0.005892785,0.006037518,0.00510225
"cds.comp141109_c0_seq6|m.37141",0.004295425,0.005100655,0.004153266,0.00665866,0.004596626,0.005205458,0.005892785,0.006037518,0.00510225
"cds.comp141109_c0_seq7|m.37142",0.002135285,0.004134665,0.001201398,0.004382252,0.002922386,0.002605659,0.003950728,0.00307342,0.003458387
"cds.comp141109_c0_seq8|m.37143",0.004295425,0.005100655,0.004153266,0.00665866,0.004596626,0.005205458,0.005892785,0.006037518,0.00510225
"cds.comp141109_c0_seq9|m.37144",0.004295425,0.005100655,0.004153266,0.00665866,0.004596626,0.005205458,0.005892785,0.006037518,0.00510225
"cds.comp141119_c0_seq1|m.37182",0.03738972,0.027152567,0.027274868,0.036563861,0.031938268,0.029314152,0.01950743,0.035268919,0.026223289
"cds.comp141126_c0_seq1|m.37209",0.001913763,0.004651728,0.010443013,0.005364212,0.009211848,0.003349634,0.004386018,0.007561233,0.005708045
"cds.comp141126_c2_seq1|m.37210",0.009305146,0.012927911,0.018461174,0.008582348,0.018531487,0.003228256,0.018288472,0.017030839,0.01083881
"cds.comp141128_c0_seq3|m.37212",0.000157042,0.003206266,0.001448369,0.000249913,4.4514e-05,1.318e-05,0.000453817,0.000122756,0.000252315
"cds.comp141129_c0_seq1|m.37213",0.071979045,0.026085707,0.046840563,0.068980197,0.063616675,0.038580287,0.043184169,0.089078405,0.060733264
"cds.comp141129_c0_seq2|m.37216",0.071979045,0.026085707,0.046840563,0.068980197,0.063616675,0.038580287,0.043184169,0.089078405,0.060733264
"cds.comp141129_c0_seq3|m.37219",0.071979045,0.026085707,0.046840563,0.068980197,0.063616675,0.038580287,0.043184169,0.089078405,0.060733264
"cds.comp141129_c0_seq4|m.37222",0.071979045,0.026085707,0.046840563,0.068980197,0.063616675,0.038580287,0.043184169,0.089078405,0.060733264
"cds.comp141129_c0_seq6|m.37224",0.071979045,0.026085707,0.046840563,0.068980197,0.063616675,0.038580287,0.043184169,0.089078405,0.060733264
